"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"799","RT @CCOOAgentesJCCM: 6<U+20E3><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>como avance de #CRincendios<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

Esta noche a 23:30<ed><U+00A0><U+00BD><ed><U+00B5><U+00A6><ed><U+00A0><U+00BD><ed><U+00B1><U+0089> @la2_tve<ed><U+00A0><U+00BD><ed><U+00B3><U+00BA>con:
@Raulkillerm
@CrisMont_M
@incendi
@MartinAlcahud
h…",FALSE,0,NA,2016-11-28 21:26:08,FALSE,NA,"803349280920637440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADF175Esparregu",20,TRUE,FALSE,NA,NA
"800","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:25:47,FALSE,NA,"803349191938478086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arropiero73",29,TRUE,FALSE,NA,NA
"801","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:25:07,FALSE,NA,"803349024627707908",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luislo_90",63,TRUE,FALSE,NA,NA
"802","RT @El_Batefuegos: #CRincendios
Si tenéis ocasión, no os lo perdáis. https://t.co/C4jmHrM4Ux",FALSE,0,NA,2016-11-28 21:23:36,FALSE,NA,"803348644086902784",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Fenicio_112",2,TRUE,FALSE,NA,NA
"803","#CRincendios
Si tenéis ocasión, no os lo perdáis. https://t.co/C4jmHrM4Ux",FALSE,7,NA,2016-11-28 21:23:05,FALSE,NA,"803348511609810949",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","El_Batefuegos",2,FALSE,FALSE,NA,NA
"804","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:23:05,FALSE,NA,"803348510879911936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scrippsiella",29,TRUE,FALSE,NA,NA
"805","RT @PauCostaF: Oriol Vilalta, Director de @PauCostaF , tb entrevistado en la 'Huella del Fuego' #CRincendios, hoy a las 23:30h https://t.co…",FALSE,0,NA,2016-11-28 21:22:59,FALSE,NA,"803348487354142720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CrisMont_M",2,TRUE,FALSE,NA,NA
"806","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:22:25,FALSE,NA,"803348343598497795",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CrisMont_M",63,TRUE,FALSE,NA,NA
"807","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:20:34,FALSE,NA,"803347877493870592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMAKD301",63,TRUE,FALSE,NA,NA
"808","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:19:40,FALSE,NA,"803347652968595456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IngMontesCyL",29,TRUE,FALSE,NA,NA
"809","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:19:04,FALSE,NA,"803347500275040257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","briflubia",29,TRUE,FALSE,NA,NA
"810","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:18:19,FALSE,NA,"803347312273661952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","briftabuyo",63,TRUE,FALSE,NA,NA
"811","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:18:16,FALSE,NA,"803347301855035392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","briftabuyo",29,TRUE,FALSE,NA,NA
"812","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:17:48,FALSE,NA,"803347182611005440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CrisMont_M",29,TRUE,FALSE,NA,NA
"813","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:17:12,FALSE,NA,"803347033771966466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brif_iglesuela",29,TRUE,FALSE,NA,NA
"814","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:16:59,FALSE,NA,"803346978092515328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brif_iglesuela",63,TRUE,FALSE,NA,NA
"815","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:16:22,FALSE,NA,"803346820600655876",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernandoRainr",29,TRUE,FALSE,NA,NA
"816","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:15:24,FALSE,NA,"803346579222659072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urifoc",29,TRUE,FALSE,NA,NA
"817","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:15:14,FALSE,NA,"803346536952369152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baziebi",29,TRUE,FALSE,NA,NA
"818","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:14:07,FALSE,NA,"803346254256283648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AT_Brif",29,TRUE,FALSE,NA,NA
"819","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:13:41,FALSE,NA,"803346147075092484",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PauCostaF",29,TRUE,FALSE,NA,NA
"820","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:57:46,FALSE,NA,"803342141930016768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jovi_iu",63,TRUE,FALSE,NA,NA
"821","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:55:35,FALSE,NA,"803341592862093313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","villajg60",63,TRUE,FALSE,NA,NA
"822","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:51:01,FALSE,NA,"803340440795803648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferjamargo",63,TRUE,FALSE,NA,NA
"823","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:47:07,FALSE,NA,"803339460603691008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fogatillas",63,TRUE,FALSE,NA,NA
"824","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:44:57,FALSE,NA,"803338917189664768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Evita__me",63,TRUE,FALSE,NA,NA
"825","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:44:54,FALSE,NA,"803338901674926093",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernandoRainr",63,TRUE,FALSE,NA,NA
"826","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:39:42,FALSE,NA,"803337596264976385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1Yrene",63,TRUE,FALSE,NA,NA
"827","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:39:06,FALSE,NA,"803337444070486016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juanpe_Seif",63,TRUE,FALSE,NA,NA
"828","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:38:13,FALSE,NA,"803337220941811712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elos_357",63,TRUE,FALSE,NA,NA
"829","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:37:08,FALSE,NA,"803336950522454016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AT_Brif",63,TRUE,FALSE,NA,NA
"830","RT @CCOOAgentesJCCM: 6<U+20E3><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>como avance de #CRincendios<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

Esta noche a 23:30<ed><U+00A0><U+00BD><ed><U+00B5><U+00A6><ed><U+00A0><U+00BD><ed><U+00B1><U+0089> @la2_tve<ed><U+00A0><U+00BD><ed><U+00B3><U+00BA>con:
@Raulkillerm
@CrisMont_M
@incendi
@MartinAlcahud
h…",FALSE,0,NA,2016-11-28 20:33:42,FALSE,NA,"803336084507664384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SIMARRO88",20,TRUE,FALSE,NA,NA
"831","RT @PauCostaF: 'La huella del fuego', el lunes 28 de noviembre a las 23:30h en @la2_tve  #CRincendios https://t.co/abzeXQM32I via @rtve",FALSE,0,NA,2016-11-28 20:32:17,FALSE,NA,"803335728373624832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","txarly5",34,TRUE,FALSE,NA,NA
"832","RT @sfadfcat: RECORDEU! Aquesta nit a les 23.30 ""La huella del fuego"" a #CRincendios @la2_tve. @incendi @PauCostaF #incendis #adfcat https:…",FALSE,0,NA,2016-11-28 20:31:12,FALSE,NA,"803335455144087552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADFVacarisses",10,TRUE,FALSE,NA,NA
"833","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 20:28:15,FALSE,NA,"803334712324423682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PazAlso",29,TRUE,FALSE,NA,NA
"834","RT @Inforadioinfo: Crónica 24 horas https://t.co/qJDElAh9RT #crincendios #crónicas",FALSE,0,NA,2016-11-28 20:16:16,FALSE,NA,"803331698893189120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","InforadioConsu",1,TRUE,FALSE,NA,NA
"835","RT @jslindquist: Esta noche en La 2, Crónicas: 'La huella del fuego'. #CRincendios https://t.co/5CSVP9WDQt",FALSE,0,NA,2016-11-28 20:09:00,FALSE,NA,"803329867555241984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","espadaniques",3,TRUE,FALSE,NA,NA
"836","RT @sfadfcat: RECORDEU! Aquesta nit a les 23.30 ""La huella del fuego"" a #CRincendios @la2_tve. @incendi @PauCostaF #incendis #adfcat https:…",FALSE,0,NA,2016-11-28 20:07:47,FALSE,NA,"803329561542934533",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","espadaniques",10,TRUE,FALSE,NA,NA
"837","RT @nfcsavpc: No us perdeu aquesta nit a les 23.30 ""La huella del fuego"" a #CRincendios @la2_tve. @incendi @PauCostaF #incendis #gestiófore…",FALSE,0,NA,2016-11-28 20:07:36,FALSE,NA,"803329515430801408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","espadaniques",4,TRUE,FALSE,NA,NA
"838","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 20:07:19,FALSE,NA,"803329445406900224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","espadaniques",63,TRUE,FALSE,NA,NA
"839","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 19:56:56,FALSE,NA,"803326833282469888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiguelARevoluci",29,TRUE,FALSE,NA,NA
"840","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 19:55:58,FALSE,NA,"803326589845078016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","JuanCeriani",29,TRUE,FALSE,NA,NA
"841","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 19:50:43,FALSE,NA,"803325268333121536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Black_murcia",63,TRUE,FALSE,NA,NA
"842","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 19:41:09,FALSE,NA,"803322860488036352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EricRazr",29,TRUE,FALSE,NA,NA
